Model,RMSE,MAE,R2
Linearna regresija (Ridge),30642.201182342607,19037.584429496772,0.8775874105042151
Random Forest,28747.70397439884,17473.413574381986,0.8922561490246271
XGBoost,24292.355340723963,14975.12890625,0.9230647683143616
